,Class of Orbit,Country of Operator/Owner,Operator/Owner,Users,Purpose,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
81,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35778.0,35794.0,0.00019,0.01,1436.1,4715.0,2007,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
82,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35773.0,35799.0,0.000308,0.01,1436.08,4905.0,2013,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M
83,LEO,Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,696.0,764.0,0.00479,98.0,99.4,12.0,2004,5.4,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr
84,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,613.0,733.0,0.00852,97.9,98.0,12.0,2014,5.4,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
85,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,694.0,850.0,0.0109,98.2,100.3,12.0,2004,5.4,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr
86,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,559.0,662.0,0.00738,98.18,97.0,12.0,2009,5.4,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr
87,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,604.0,674.0,0.00499,98.1,97.5,12.0,2009,5.4,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr
88,LEO,Canada,"Aprize Satellite, Argentina",Commercial,Communications,610.0,694.0,0.00598,98.2,97.8,12.0,2011,5.4,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
89,LEO,Canada,"Aprize Satellite, Argentina",Commercial,Communications,594.0,653.0,0.00422,97.8,97.17,12.0,2013,5.4,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
90,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,594.0,669.0,0.00536,97.8,97.99,12.0,2013,5.4,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
91,LEO,USA,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,613.0,715.0,0.00725,97.9,98.0,12.0,2014,5.4,SpaceQuest,USA,Dombarovsky Air Base,Dnepr
93,GEO,China,APT Satellite Holdings Ltd.,Commercial,Communications,35785.0,35885.0,0.00118,0.01,1438.5,5550.0,2020,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
94,GEO,China,APT Satellite Holdings Ltd.,Commercial,Communications,35700.0,35700.0,0.0,0.0,1436.0,4300.0,2023,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
95,GEO,China,APT Satellite Holdings Ltd.,Commercial,Communications,35864.0,35874.0,0.000118,0.03,1440.31,5054.0,2012,15.0,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B
96,GEO,China,APT Satellite Holdings Ltd.,Commercial,Communications,35782.0,35788.0,7.12e-05,0.12,1436.01,5200.0,2015,15.0,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
97,GEO,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,35766.0,35805.0,0.000463,0.06,1436.06,4630.0,2011,15.0,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA
98,GEO,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,35774.0,35811.0,0.000439,0.01,1436.0,6465.0,2019,15.0,Lockheed Martin,USA,Cape Canaveral,Falcon Heavy
99,LEO,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,526.0,535.0,0.000652,97.5,95.2,1.0,2021,5.4,"South Florida University, Institute of Applied Engineering (IAE)",USA,Cape Canaveral,Falcon 9/Sherpa FX
100,LEO,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,522.0,536.0,0.00101,97.5,95.2,1.0,2021,5.4,"South Florida University, Institute of Applied Engineering (IAE)",USA,Cape Canaveral,Falcon 9/Sherpa FX
101,LEO,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,522.0,536.0,0.00101,97.5,95.2,1.0,2021,5.4,"South Florida University, Institute of Applied Engineering (IAE)",USA,Cape Canaveral,Falcon 9/Sherpa FX
102,LEO,Norway,Norwegian Defence Research Establishment,Military,Technology Demonstration,499.0,510.0,0.0008,97.4,95.0,10.0,2022,5.4,Norwegian Defence Research Establishment,Norway,Cape Canaveral,Falcon 9
103,LEO,Japan,Aoyama Gakuin University in Tokyo,Civil,Technology Development,547.0,572.0,0.0018,97.6,95.0,1.0,2021,5.4,Aoyama Gakuin University in Tokyo,Japan,Uchinoura Space Center,H2A
104,Elliptical,Russia,Naval Physical and Oceanographic Laboratory,Government,Earth Observation,1025.0,39754.0,0.724,63.3,717.8,2200.0,2021,7.0,NPO Lavochkin,Russia,Baikonur Cosmodrome,Soyuz-2.1b
105,LEO,USA,Planetary Resources,Commercial,Technology Development,493.0,505.0,0.000873,97.5,94.5,10.0,2018,5.4,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV
106,GEO,Argentina,ArSat,Commercial,Communications,35778.0,35795.0,0.000202,0.01,1436.07,3000.0,2014,15.0,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA
107,GEO,Argentina,ArSat,Commercial,Communications,35786.0,35801.0,0.000178,0.01,1436.06,2977.0,2015,15.0,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA
108,LEO,Belgium,Aerospacelab,Commercial,Earth Observation,512.0,535.0,0.00167,97.5,95.1,20.0,2021,5.4,Astrospacelab,Belgium,Cape Canaveral,Falcon 9
109,LEO,Turkey,Istanbul Technical  University,Civil,Earth Observation,522.0,536.0,0.00101,97.5,95.2,5.0,2021,5.4,Istanbul Technical University,Turkey,Cape Canaveral,Falcon 9
110,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35778.0,35795.0,0.000202,0.0,1436.11,3760.0,2009,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M
111,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35783.0,35793.0,0.000119,0.07,1436.17,3700.0,2014,15.0,Space Systems/Loral,USA,Cape Canaveral,Falcon 9
