,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
343,586.0,602.0,0.00115,97.6,96.6,10.0,5.4
345,525.0,536.0,0.000797,97.6,95.0,10.0,5.4
346,586.0,602.0,0.00115,97.6,96.6,10.0,5.4
347,496.0,515.0,0.00138,97.45,94.7,10.0,5.4
348,493.0,504.0,0.000801,97.5,94.5,10.0,5.4
349,485.0,500.0,0.00109,97.5,95.0,10.0,5.4
351,484.0,791.0,0.0219,64.6,97.4,3.0,5.4
352,483.0,493.0,0.000729,97.4,94.2,5.0,5.4
353,458.0,474.0,0.00117,51.6,93.9,9.0,5.4
355,702.0,703.0,7.07e-05,98.2,98.8,848.0,2.0
356,35778.0,35795.0,0.000202,0.08,1436.1,1500.0,15.0
357,494.0,521.0,0.00196,60.7,94.7,5.0,5.4
358,494.0,521.0,0.00196,60.7,94.7,5.0,5.4
359,496.0,513.0,0.00124,97.45,94.6,5.0,5.4
360,35783.0,35791.0,9.49e-05,0.01,1436.1,2460.0,5.4
361,35773.0,35799.0,0.000308,0.05,1436.1,2440.0,15.0
362,35780.0,35794.0,0.000166,0.08,1436.11,2440.0,15.0
363,516.0,531.0,0.00109,97.5,95.0,10.0,5.4
364,488.0,506.0,0.00131,97.5,95.0,10.0,5.4
365,820.0,841.0,0.00146,98.8,101.5,817.0,3.0
366,584.0,599.0,0.00108,97.5,96.5,10.0,5.4
367,584.0,598.0,0.00101,97.5,96.5,10.0,5.4
368,488.0,503.0,0.00109,94.4,96.5,10.0,5.4
369,576.0,591.0,0.00108,97.7,96.5,10.0,5.4
370,495.0,509.0,0.00102,97.3,96.5,10.0,5.4
371,709.0,721.0,0.000847,24.0,99.0,280.0,5.0
372,710.0,724.0,0.000988,24.0,99.0,280.0,5.0
373,708.0,724.0,0.00113,24.0,99.0,280.0,5.0
374,710.0,724.0,0.000988,24.0,99.0,280.0,5.0
375,709.0,724.0,0.00106,24.0,99.0,280.0,5.0
376,708.0,724.0,0.00113,24.0,99.0,280.0,5.0
377,764.0,836.0,0.00502,72.0,100.9,70.0,2.0
378,769.0,831.0,0.00432,72.0,100.9,70.0,2.0
379,669.0,746.0,0.00544,72.0,98.9,70.0,2.0
380,751.0,849.0,0.00683,72.0,100.9,70.0,2.0
381,772.0,828.0,0.00391,72.0,100.9,70.0,2.0
382,622.0,623.0,7.15e-05,97.9,97.2,1700.0,5.0
383,622.0,623.0,7.15e-05,97.9,97.2,1700.0,5.0
384,622.0,623.0,7.15e-05,97.9,97.2,1700.0,5.0
385,622.0,623.0,7.15e-05,97.9,97.2,1700.0,5.0
386,621.0,648.0,0.00193,7.9,97.2,1800.0,5.0
395,441.0,657.0,0.0156,99.1,95.6,4.0,5.4
396,713.0,724.0,0.000776,92.0,99.2,720.0,3.0
397,621.0,622.0,7.15e-05,97.8,97.1,2205.0,5.0
398,573.0,590.0,0.00122,97.7,96.3,6.0,5.4
399,800.0,800.0,0.0,98.6,100.87,3565.0,10.0
400,480.0,480.0,0.0,97.3,94.0,3565.0,10.0
401,594.0,715.0,0.00861,97.8,97.8,2.0,5.4
402,494.0,511.0,0.00124,85.04,94.7,3.0,5.4
404,550.0,573.0,0.00166,97.6,96.2,10.0,5.4
405,550.0,574.0,0.00173,97.6,96.2,10.0,5.4
406,515.0,537.0,0.0016,34.96,95.16,29.0,5.4
407,514.0,536.0,0.0016,34.97,95.13,29.0,5.4
408,514.0,533.0,0.00138,34.96,95.1,29.0,5.4
409,515.0,534.0,0.00138,34.95,95.13,29.0,5.4
410,515.0,537.0,0.0016,34.96,95.15,29.0,5.4
411,515.0,534.0,0.00138,34.96,95.12,29.0,5.4
412,514.0,534.0,0.00145,34.96,95.12,29.0,5.4
413,515.0,537.0,0.0016,34.95,95.15,29.0,5.4
414,571.0,588.0,0.00122,97.7,96.3,4.0,5.4
415,524.0,536.0,0.00087,97.5,95.1,9.0,5.4
416,630.0,635.0,0.000357,97.88,97.36,2120.0,7.0
417,488.0,505.0,0.00124,97.3,94.54,1850.0,3.0
418,489.0,511.0,0.0016,85.03,94.6,4.0,5.4
419,526.0,547.0,0.00152,97.5,95.4,20.0,5.4
420,514.0,536.0,0.0016,97.46,95.13,3.0,5.4
421,661.0,662.0,7.11e-05,98.0,98.0,90.0,5.0
422,597.0,619.0,0.00158,97.99,96.85,310.0,10.0
423,548.0,567.0,0.00137,97.7,95.8,5.0,5.4
424,598.0,616.0,0.00129,97.8,96.8,7.0,5.4
425,415.0,418.0,0.000221,51.6,92.9,9.0,5.4
426,496.0,508.0,0.000873,97.4,95.1,10.0,5.4
427,488.0,502.0,0.00102,51.6,92.9,4.0,5.4
428,309.0,605.0,0.0217,24.5,93.7,8.0,5.4
429,496.0,511.0,0.00109,97.45,96.4,6.0,5.4
430,496.0,511.0,0.00109,97.45,96.4,6.0,5.4
431,496.0,511.0,0.00109,97.45,96.4,6.0,5.4
432,496.0,508.0,0.000873,97.5,94.6,10.0,5.4
433,534.0,536.0,0.000145,97.5,94.6,6.0,5.4
434,35785.0,35788.0,3.56e-05,0.04,1436.1,5900.0,15.0
435,35786.0,35786.0,0.0,0.03,1436.1,5900.0,5.4
436,35785.0,35786.0,1.19e-05,0.09,1436.04,5900.0,15.0
437,35930.0,35933.0,3.55e-05,0.02,1443.51,5900.0,15.0
438,35685.0,35809.0,0.00147,0.1,1434.07,5500.0,15.0
439,35773.0,35799.0,0.000308,0.07,1436.08,4300.0,15.0
440,35777.0,35796.0,0.000225,0.02,1436.1,3800.0,12.0
441,35774.0,35798.0,0.000285,0.03,1436.1,5500.0,15.0
442,488.0,509.0,0.00153,97.7,95.1,1.0,5.4
443,595.0,616.0,0.00151,97.8,96.8,56.0,1.0
444,712.0,732.0,0.00141,98.6,99.2,45.0,1.0
445,636.0,663.0,0.00192,98.0,97.71,447.0,10.0
446,636.0,663.0,0.00192,98.0,97.71,447.0,10.0
447,636.0,661.0,0.00178,98.0,97.69,447.0,10.0
448,536.0,564.0,0.00202,97.6,95.6,15.0,5.4
449,842.0,855.0,0.0009,98.9,101.9,1134.0,5.0
450,837.0,851.0,0.00097,98.9,101.8,1152.0,5.0
451,843.0,852.0,0.000623,98.9,101.87,1154.0,5.0
452,842.0,855.0,0.0009,98.79,101.89,1154.0,5.0
453,842.0,859.0,0.00118,98.93,101.94,1155.0,5.0
454,520.0,531.0,0.000798,97.5,94.7,5.0,5.4
455,514.0,546.0,0.00232,97.5,95.2,18.0,5.4
456,480.0,509.0,0.00211,97.3,94.5,4.0,3.0
457,479.0,510.0,0.00226,97.3,94.5,4.0,3.0
458,480.0,509.0,0.00211,97.3,94.5,4.0,3.0
459,480.0,510.0,0.00218,97.3,94.5,4.0,3.0
460,480.0,509.0,0.00211,97.3,94.5,4.0,3.0
461,499.0,522.0,0.00167,97.3,94.8,4.0,3.0
462,496.0,506.0,0.000728,97.5,94.6,4.0,3.0
