Launch details,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Time (UTC),Day,Month ,Year,Latitude,Longitude ,Launch location,Rocket Type,Booster fuel type,Stage 1 fuel type,Stage 2 fuel type,Stage 3 fuel type,Stage 4 fuel type,"Boosters mass (each, kg) ","Boosters mass (total, kg)",Stage 1 mass (kg),Stage 2 mass (kg),Stage 3 mass (kg),Stage 4 mass (kg),Kerosene mass (kg),Hydrogen mass (kg),Hypergolic mass (kg),Solid fuel mass (kg),Total Cl mass (kg),
16.083,24,9,2019,30.401,130.975,Tanegashima,H-2B-304,4 x Solid (HTPB),Hydrogen,Hydrogen,n/a,n/a,66000,264000,177800,16900,0,0,0,194700,0,264000,739.2,
0.900,25,9,2019,40.961,100.298,Jiuquan,CZ-2D (2),n/a,Hypergolic,Hypergolic,n/a,n/a,0,0,183200,35550,0,0,0,0,218750,0,0,
13.967,25,9,2019,45.920,63.342,Baikonur,Soyuz-FG,4 x Kerosene,n/a,Kerosene,Kerosene,n/a,39600,158400,0,92950,22830,0,274180,0,0,0,0,
7.767,26,9,2019,62.929,40.457,Plesetsk,Soyuz-2-1b Fregat-M,4 x Kerosene,n/a,Kerosene,Kerosene,Hypergolic,39600,158400,0,92950,22830,5350,274180,0,5350,0,0,
18.850,4,10,2019,38.863,111.589,Taiyuan,CZ-4C,n/a,Hypergolic,Hypergolic,Hypergolic,n/a,0,0,183200,35550,14000,0,0,0,232750,0,0,
10.283,9,10,2019,46.040,63.032,Baikonur,Proton-M Briz-M (Ph.4),n/a,Hypergolic,Hypergolic,Hypergolic,Hypergolic,0,0,428300,157300,46562,19800,0,0,651962,0,0,
2.000,11,10,2019,28.406,-80.605,Cape Canaveral,Pegasus-XL,n/a,Solid,Solid,Solid,n/a,0,0,15010,3930,770,0,0,0,0,19710,42.028,
1.367,17,10,2019,-39.251,177.867,Mahia,Electron KS,n/a,Kerosene,Kerosene,n/a,n/a,0,0,9250,2050,0,0,11300,0,0,0,0,
15.350,17,10,2019,28.247,102.029,Xichang,CZ-3B/G3,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
14.000,2,11,2019,37.833,-75.488,Wallops Island,Antares-230+,n/a,Kerosene,TP-H8299Al,n/a,n/a,0,0,242000,24200,0,0,242000,0,0,24200,0,
3.367,3,11,2019,38.863,111.589,Taiyuan,CZ-4B,n/a,Hypergolic,Hypergolic,Hypergolic,n/a,0,0,183200,35550,14000,0,0,0,232750,0,0,
17.717,4,11,2019,28.246,102.027,Xichang,CZ-3B/G3,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
14.933,11,11,2019,28.562,-80.577,Cape Canaveral,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
3.667,13,11,2019,40.972,100.364,Jiuquan,Kuaizhou-1A,n/a,Solid,Solid,Solid,MMHN2O4,0,0,15000,7500,2000,150,0,0,150,24500,42,
6.583,13,11,2019,38.868,111.580,Taiyuan,CZ-6,n/a,Kerosene,Kerosene,H2O2Kerosene,n/a,0,0,76000,15000,3180,0,94180,0,0,0,0,
10.000,17,11,2019,40.972,100.364,Jiuquan,Kuaizhou-1A,n/a,Solid,Solid,Solid,MMHN2O4,0,0,15000,7500,2000,150,0,0,150,24500,42,
0.917,23,11,2019,28.247,102.029,Xichang,CZ-3B/G3Z,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
17.867,25,11,2019,62.929,40.457,Plesetsk,Soyuz-2-1v Volga,n/a,Kerosene,Kerosene,Hypergolic,n/a,0,0,119000,22830,900,0,141830,0,900,0,0,
21.383,26,11,2019,5.239,-52.769,Kourou,Ariane-5ECA,"2 x AP, Al, Solid (HTPB)",Hydrogen,Hydrogen,n/a,n/a,240000,480000,175000,14900,0,0,0,189900,0,480000,1344,
3.967,27,11,2019,13.720,80.230,Sriharikota,PSLV-XL,6 x Solid (HTPB),Solid (HTPB),Hypergolic,Solid (HTPB),Hypergolic,12000,72000,138000,41500,7600,2500,0,0,44000,217600,588,
23.867,27,11,2019,38.863,111.589,Taiyuan,CZ-4C,n/a,Hypergolic,Hypergolic,Hypergolic,n/a,0,0,183200,35550,14000,0,0,0,232750,0,0,
17.483,5,12,2019,28.562,-80.577,Cape Canaveral,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
8.300,6,12,2019,-39.251,177.867,Mahia,Electron KS,n/a,Kerosene,Kerosene,n/a,n/a,0,0,9250,2050,0,0,11300,0,0,0,0,
9.567,6,12,2019,45.996,63.564,Baikonur,Soyuz-2-1a,4 x Kerosene,n/a,Kerosene,Kerosene,n/a,39600,158400,0,92950,22830,0,274180,0,0,0,0,
2.917,7,12,2019,38.849,111.608,Taiyuan,Kuaizhou-1A,n/a,Solid,Solid,Solid,MMHN2O4,0,0,15000,7500,2000,150,0,0,150,24500,42,
8.867,7,12,2019,38.868,111.580,Taiyuan,Kuaizhou-1A,n/a,Solid,Solid,Solid,MMHN2O4,0,0,15000,7500,2000,150,0,0,150,24500,42,
8.917,11,12,2019,62.927,40.450,Plesetsk,Soyuz-2-1b Fregat-M,4 x Kerosene,n/a,Kerosene,Kerosene,Hypergolic,39600,158400,0,92950,22830,5350,274180,0,5350,0,0,
9.917,11,12,2019,13.720,80.230,Sriharikota,PSLV-QL,4 x Solid (HTPB),Solid (HTPB),Hypergolic,Solid (HTPB),Hypergolic,12000,48000,138000,41500,7600,2500,0,0,44000,193600,520.8,
7.367,16,12,2019,28.247,102.029,Xichang,CZ-3B/G3Z,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
0.167,17,12,2019,28.562,-80.577,Cape Canaveral,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
8.900,18,12,2019,5.301,-52.837,Kourou,Soyuz-ST-A Fregat-M,4 x Kerosene,n/a,Kerosene,Kerosene,Hypergolic,39600,158400,0,92950,22830,5350,274180,0,5350,0,0,
3.367,20,12,2019,38.863,111.589,Taiyuan,CZ-4B,n/a,Hypergolic,Hypergolic,Hypergolic,n/a,0,0,183200,35550,14000,0,0,0,232750,0,0,
11.617,20,12,2019,28.583,-80.583,Cape Canaveral,Atlas-5(N22),2 x Solid (HTPB),Kerosene,Hydrogen,n/a,n/a,42630,85260,284090,20800,0,0,284090,20800,0,85260,238.728,
12.050,24,12,2019,46.071,62.985,Baikonur,Proton-M Blok-DM-03,n/a,Hypergolic,Hypergolic,Hypergolic,Kerosene,0,0,428300,157300,46562,18800,18800,0,632162,0,0,
23.200,26,12,2019,62.887,40.847,Plesetsk,Rokot-KM,n/a,Hypergolic,Hypergolic,Hypergolic,n/a,0,0,71450,10710,4965,0,0,0,87125,0,0,
12.750,27,12,2019,19.614,110.951,Wenchang,CZ-5,4 x Kerosene,Hydrogen,Hydrogen,n/a,n/a,152000,608000,158000,22900,0,0,608000,180900,0,0,0,
9.000,29,8,2019,35.234,53.921,Semnan,Safir-1B,n/a,Hypergolic,Hypergolic,n/a,n/a,0,0,18200,3050,0,0,0,0,21250,0,0,
0.500,15,1,2019,35.238,53.951,Semnan,Simorgh,n/a,RFNA  UDMH,RFNA  UDMH,Solid,n/a,0,0,63000,8000,185,0,0,0,71000,185,0,
9.000,5,2,2019,35.234,53.921,Semnan,Safir-1B,n/a,Hypergolic,Hypergolic,n/a,n/a,0,0,18200,3050,0,0,0,0,21250,0,0,
9.650,27,3,2019,40.961,100.298,Jiuquan,OS-M1,n/a,Solid,Solid,Solid,Solid ,0,0,15010,3930,900,150,0,0,0,19990,42.028,
22.817,22,5,2019,38.863,111.589,Taiyuan,CZ-4C,n/a,Hypergolic,Hypergolic,Hypergolic,n/a,0,0,183200,35550,14000,0,0,0,232750,0,0,
1.883,11,7,2019,5.236,-52.775,Kourou,Vega,n/a,Solid (HTPB),Solid (HTPB),Solid (HTPB),Hypergolic,0,0,88365,23900,10115,550,0,0,550,122380,247.422,
,,,,,,,,,,,,,,,,,,,,,,,,
