Vehicle / Vehicle Family,Cost to LEO (FY21$/kg),Max. Payload Mass to LEO (kg),Source(s),Notes,Additional Tags,,,,,,,,,,,Source #1,,,,,,,,,Source #2,,,,,,,,,Source #3,,,,,,,,,Source #4,,,,,,,,,Source #5,,,,,,,,,
Electron,23100,225,FAA Office of Commercial Space Transportation (2018),,"Rocket Lab, Rocket Lab Launch Complex",Electron,#REF!,#REF!,#REF!,Gugliotta (2018),FAA Office of Commercial Space Transportation (2018),Mann (2019),,,,Gugliotta (2018),25110,2018,Gugliotta (2018),5.7,,2018,227,,FAA Office of Commercial Space Transportation (2018),21778,2018,FAA Office of Commercial Space Transportation (2018),4.9,,2018,225,,Mann (2019),22026,2019,Mann (2019),5,,2019,227,,,,,,,,,,,,,,,,,,,,
Emeraude,,,,,,Emeraude,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energiya,2700,3000,Hendrickx (2007) / Erickson (2010),Low and high cost estimates are derived from the Rubles-to-USD conversion rates before and after the Soviet Union's 1991 exchange rate cut. See: New York Times (1991). ,,Energiya,#REF!,#REF!,#REF!,Hendrickx (2007) / Erickson (2010),,,,,,Hendrickx (2007) / Erickson (2010),1488,1991,Hendrickx (2007),3.61702127659574,5.3125,1991,3000,Erickson (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epsilon,34500,1200,FAA Office of Commercial Space Transportation (2018),,"Japan Aerospace Exploration Agency, Uchinoura Space Center",Epsilon,#REF!,#REF!,#REF!,FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",GAO (2017),,,,FAA Office of Commercial Space Transportation (2018),32500,2018,FAA Office of Commercial Space Transportation (2018),39,,2018,1200,,"Xu, Hollingsworth, and Smith (2019)",31667,2010,"Xu, Hollingsworth, and Smith (2019)",38,,2010,1200,,GAO (2017),32500,2017,GAO (2017),39,,2017,1200,,,,,,,,,,,,,,,,,,,,
Falcon 1,12600,668,"Xu, Hollingsworth, and Smith (2019)","Foust estimate is labeled ""Falcon.""","SpaceX, Ronald Reagan Ballistic Missile Defense (BMD) Test Site, Falcon",Falcon 1,#REF!,#REF!,#REF!,Foust (2003),"Xu, Hollingsworth, and Smith (2019)",,,,,Foust (2003),10500,2003,Foust (2003),6,,2003,570,,"Xu, Hollingsworth, and Smith (2019)",10404,2010,"Xu, Hollingsworth, and Smith (2019)",6.95,,2010,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falcon 9,2600,22800,FAA Office of Commercial Space Transportation (2018),"The FAA estimate uses two prices; the lower price corresponds to a reused first stage and the higher price corresponds to an expendable first stage. Xu, Hollingsworth, and Smith estimate labled ""Falcon 9 V1.0, 1.1, FT.""","SpaceX, Cape Canaveral / Kennedy Space Center, Vandenberg Air Force Base, Falcon",Falcon 9,#REF!,#REF!,#REF!,Jones (2018),FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",GAO (2017),,,Jones (2018),2720,2018,Jones (2018),62,,2018,22800,,FAA Office of Commercial Space Transportation (2018),2434,2018,FAA Office of Commercial Space Transportation (2018),49,62,2018,22800,,"Xu, Hollingsworth, and Smith (2019)",2466,2010,"Xu, Hollingsworth, and Smith (2019)",56.22,,2010,22800,,GAO (2017),2684,2017,GAO (2017),61.2,,2017,22800,,,,,,,,,,,2600
Falcon Heavy,1500,63800,FAA Office of Commercial Space Transportation (2018),,"SpaceX, Cape Canaveral / Kennedy Space Center, Falcon",Falcon Heavy,#REF!,#REF!,#REF!,Jones (2018),FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",,,,Jones (2018),1410,2018,Jones (2018),90,,2018,63800,,FAA Office of Commercial Space Transportation (2018),1411,2018,FAA Office of Commercial Space Transportation (2018),90,,2018,63800,,"Xu, Hollingsworth, and Smith (2019)",1279,2010,"Xu, Hollingsworth, and Smith (2019)",81.61,,2010,63800,,,,,,,,,,,,,,,,,,,,
GSLV,10000,5000,FAA Office of Commercial Space Transportation (2018),,"Indian Space Research Organisation, Satish Dhawan Space Centre",GSLV,#REF!,#REF!,#REF!,FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",,,,,FAA Office of Commercial Space Transportation (2018),9400,2018,FAA Office of Commercial Space Transportation (2018),47,,2018,5000,,"Xu, Hollingsworth, and Smith (2019)",8800,2010,"Xu, Hollingsworth, and Smith (2019)",44,,2010,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-I,,,,,,H-I,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-II,10500,11730,"Xu, Hollingsworth, and Smith (2019)","FAA estimate is labeled ""H-IIA/B."" The first Xu, Hollingsworth, and Smith estimate corresponds to ""H-2 & 2A."" The second Xu, Hollingsworth, and Smith estimate corresponds to ""H-2B."" ","Mitsubishi Heavy Industries, Tanegashima Space Center",H-II,#REF!,#REF!,#REF!,Wertz and Larson (1996),FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith (2019) - 2",,,Wertz and Larson (1996),16800,1995,Wertz and Larson (1996),150,200,1995,10433,,FAA Office of Commercial Space Transportation (2018),5455,2018,FAA Office of Commercial Space Transportation (2018),90,112.5,2018,16500,,"Xu, Hollingsworth, and Smith (2019)",8632,2010,"Xu, Hollingsworth, and Smith (2019)",101.25,,2010,11730,,"Xu, Hollingsworth, and Smith (2019) - 2",8571,2010,"Xu, Hollingsworth, and Smith (2019) - 2",141.42,,2010,16500,,,,,,,,,,,
Jielong,,,,,,Jielong,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosmos,14900,1500,"Xu, Hollingsworth, and Smith (2019)","Foust estimate is labeled ""Kosmos 3M."" Xu, Hollingsworth, and Smith estimate is labeled ""Kosmos 3M.""","Production Corporation Polyot, Kapustin Yar Cosmodrome, Plesetsk Cosmodrome",Kosmos,#REF!,#REF!,#REF!,Futron (2002),Foust (2003),"Xu, Hollingsworth, and Smith (2019)",,,,Futron (2002),8667,2000,Futron (2002),13,,2000,1500,,Foust (2003),9300,2003,Foust (2003),13,,2003,1400,,"Xu, Hollingsworth, and Smith (2019)",12260,2010,"Xu, Hollingsworth, and Smith (2019)",18.39,,2010,1500,,,,,,,,,,,,,,,,,,,,
Kuaizhou,10600,300,FAA Office of Commercial Space Transportation (2018),"FAA estimate is labeled ""Kuaizhou 1/1A."" Xu, Hollingsworth, and Smith estimate is labeled ""KZ.""","ExPace, China Aerospace Science and Industry Corporation, Jiuquan Satellite Launch Center, Taiyuan Satellite Launch Center",Kuaizhou,#REF!,#REF!,#REF!,FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",,,,,FAA Office of Commercial Space Transportation (2018),10000,2018,FAA Office of Commercial Space Transportation (2018),3,,2018,300,,"Xu, Hollingsworth, and Smith (2019)",8700,2010,"Xu, Hollingsworth, and Smith (2019)",2.61,,2010,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambda,,,,,,Lambda,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long March 1,,,,,Long March,Long March 1,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long March 11,10600,530,FAA Office of Commercial Space Transportation (2018),,"China Academy of Launch Vehicle Technology, Jiuquan Satellite Launch Center, Xichang Satellite Launch Center, Long March",Long March 11,#REF!,#REF!,#REF!,FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",,,,,FAA Office of Commercial Space Transportation (2018),10000,2018,FAA Office of Commercial Space Transportation (2018),5.3,,2018,530,,"Xu, Hollingsworth, and Smith (2019)",8700,2010,"Xu, Hollingsworth, and Smith (2019)",6.09,,2010,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long March 2A,17500,2000,"Xu, Hollingsworth, and Smith (2019)",,"China Academy of Launch Vehicle Technology, Jiuquan Satellite Launch Center, Long March",Long March 2A,#REF!,#REF!,#REF!,"Xu, Hollingsworth, and Smith (2019)",,,,,,"Xu, Hollingsworth, and Smith (2019)",14400,2010,"Xu, Hollingsworth, and Smith (2019)",28.8,,2010,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long March 2C,8300,3850,FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith estimate labeled ""Long March 2C & 2D.""","China Academy of Launch Vehicle Technology, Jiuquan Satellite Launch Center, Xichang Satellite Launch Center, Taiyuan Satellite Launch Center, Long March",Long March 2C,#REF!,#REF!,#REF!,Futron (2002),FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",,,,Futron (2002),7031,2000,Futron (2002),22.5,,2000,3200,,FAA Office of Commercial Space Transportation (2018),7792,2018,FAA Office of Commercial Space Transportation (2018),30,,2018,3850,,"Xu, Hollingsworth, and Smith (2019)",5854,2010,"Xu, Hollingsworth, and Smith (2019)",20.49,,2010,3500,,,,,,,,,,,,,,,,,,,,
Long March 2D,9100,3500,FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith estimate labeled ""Long March 2C & 2D.""","Shanghai Academy of Spaceflight Technology, Jiuquan Satellite Launch Center, Xichang Satellite Launch Center, Taiyuan Satellite Launch Center, Long March",Long March 2D,#REF!,#REF!,#REF!,FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",,,,,FAA Office of Commercial Space Transportation (2018),8571,2018,FAA Office of Commercial Space Transportation (2018),30,,2018,3500,,"Xu, Hollingsworth, and Smith (2019)",5854,2010,"Xu, Hollingsworth, and Smith (2019)",20.49,,2010,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
