,launches,COSPAR_ID,Time(UTC),Date,Longitude,Latitude,Rocket_Name,DISCOSweb_Rocket_ID,Megaconstellation_Flag,Booster_No,Booster_PropMass,Booster_Fuel_Type,Booster_StageMass,Stage1_PropMass,Stage1_Fuel_Type,Stage1_StageMass,Stage2_PropMass,Stage2_Fuel_Type,Stage2_StageMass,Stage3_PropMass,Stage3_Fuel_Type,Stage3_StageMass,Stage4_PropMass,Stage4_Fuel_Type,Stage4_StageMass,Fairing_Mass,Proxy_Rocket
91,91,2020-084,0.48,20201116,-81.0,28.5,Falcon 9 v1.2,284,False,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,
92,92,2020-F09,1.92,20201117,-52.8,5.2,Vega,282,False,0,0.0,,0.0,87710.0,Solid,8533.0,23814.0,Solid,2486.0,10567.0,Solid,1433.0,577.0,Hypergolic,688.0,540.0,
93,93,2020-085,2.4,20201120,177.8655,-39.2609,Electron (Curie),91285,False,0,0.0,,0.0,9250.0,Kerosene,950.0,2100.0,Kerosene,250.0,245.0,Hypergolic,40.0,0.0,,0.0,44.0,
94,94,2020-086,17.279999999999998,20201121,-120.6,34.7,Falcon 9 v1.2,284,False,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,
95,95,2020-087,20.4,20201123,111.0,19.6,Long March (CZ) 5,88066,False,4,574000.0,Kerosene,49000.0,158250.0,Hydrogen,17500.0,24700.0,Hydrogen,3460.0,0.0,,0.0,0.0,,0.0,3000.0,
96,96,2020-088,2.1599999999999997,20201125,-81.0,28.5,Falcon 9 v1.2,284,True,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,
97,97,2020-089,7.44,20201129,130.6,30.4,H-IIA 202,190,False,2,130000.0,Solid,21000.0,101100.0,Hydrogen,12900.0,16900.0,Hydrogen,3100.0,0.0,,0.0,0.0,,0.0,1400.0,
98,98,2020-090,1.44,20201202,-52.8,5.2,Soyuz-ST-A Fregat-M,91815,False,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,22830.0,Kerosene,2470.0,5750.0,Hypergolic,960.0,0.0,,0.0,1700.0,
99,99,2020-091,1.2,20201203,40.6,62.8,Soyuz-2-1B Fregat,262,False,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,25400.0,Kerosene,2355.0,5350.0,Hypergolic,1000.0,0.0,,0.0,1800.0,
100,100,2020-092,4.08,20201206,102.0,28.2,Long March (CZ) 3B,64,False,4,164400.0,Hypergolic,14200.0,186200.0,Hypergolic,11200.0,41000.0,Hypergolic,3924.0,18196.5,Hydrogen,2770.0,0.0,,0.0,1500.0,
101,101,2020-093,16.32,20201206,-81.0,28.5,Falcon 9 v1.2,284,False,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,
102,102,2020-094,20.16,20201209,102.0,28.2,Long March (CZ) 11,5,False,0,0.0,,0.0,35000.0,Solid,4770.0,6237.0,Solid,795.0,3915.0,Solid,403.5,776.1,Solid,152.55,300.0,Minotaur 1
